Title,Ratings,Price,Price_per_Kg
Shazans Beef Sausages,3.45,now £4.50,(£5.36/kg)
Tahira Chicken Frankfurters,3.8,now £1.60,(£4.71/kg)
Melis Chicken Sausages,3.71,now £2.24,(44.8p/100g)
Hilalturk Chicken and Beef Mortadella,3.44,now £2.30,(46.0p/100g)
Indus Karahi Fry Meat Recipe & Seasoning Mix,3.67,now £0.75,(15.0p/10g)
Shazans Smoked Salt & Pepper Lamb Sausages,2.6,now £4.25,(£14.17/kg)
For Aisha Jamaican Jerk Chicken with Mango 7+ Months,3.86,now £1.00,(76.9p/100g)
Aunty Noray's Chicken Tikka Slices,3.89,now £2.75,(£9.17/kg)
Tahira Poultry Snack Stix with Cheese 200g,3,now £2.25,(£1.12/100g)
Port Royal Jamaican Vegetable Patty,4.25,now £1.30,(92.9p/100g)
Najma Sliced Chicken with Herbs,3.86,now £2.60,(£1.73/100g)
Tahira Poultry Snack Stix Chilli Love 200g,4.77,now £2.25,(£1.12/100g)
Beyond Meat Beyond Burger Plant-Based Burger 2 x 113g,4.77,now £4.30,(£19.03/kg)
Jahan Peri Peri Chicken Strips,2.71,now £3.00,(£6.00/kg)
Quorn Vegetarian Chicken Fillets,4.68,now £2.50,(£8.01/kg)
Jahan Hot & Spicy Chicken Strips,2.58,now £3.00,(£6.00/kg)
Quorn Vegetarian Chicken Pieces,4.45,now £1.50,(£5.00/kg)
The Original Patty Co. Jerk Chicken Patty 140g,4.25,now £1.00,(71.4p/100g)
Tahira Chicken with Tikka Sausage,3.78,now £2.25,(£4.50/kg)
Tahira Chicken & Turkey Cocktail Sausages,3.55,now £3.00,(75.0p/100g)
Tahira Spicy Chicken Franks,4.9,now £1.65,(£4.85/kg)
Tahira Sliced Turkey & Beef Salami,4.6,now £2.60,(£1.30/100g)
Najma Sliced Chicken Tikka Style,5,now £2.30,(£1.53/100g)
The Original Patty Co. Beef Patty 140g,4.2,now £1.00,(71.4p/100g)
Grace Chicken Hot Dog Sausages,5,now £1.85,(46.2p/100g)
Quorn Vegan Chicken Free Slices,3.85,now £2.19,(£21.90/kg)
Express Cuisine Chicken Tandoori Wrap,1,now £2.80,(£1.33/100g)
Tahira Poultry Sausage with Beef Hot & Spicy,3.83,now £2.75,(55.0p/100g)
For Aisha Moroccan Chicken Tagine 7+ Months,4.33,now £1.00,(76.9p/100g)
Port Royal Jamaican Jerk Chicken Patty,3.75,now £1.30,(92.9p/100g)
The Original Patty Co. Lamb Jamaican Patty 140g,4.25,now £1.00,(71.4p/100g)
The Original Patty Co. Chicken Jamaican Patty 140g,4.33,now £1.00,(71.4p/100g)
Quorn Vegan Smoky Ham Free Slices,4.38,now £2.19,(£21.90/kg)
Melis Dana Kavurma Roasted Beef,3.38,now £4.00,(£2.00/100g)
Ko-Lee Go Noodles Roast Chicken Flavour,4.8,now £0.90,(£13.85/kg)
Indo Mie Instant Special Chicken Flavour Noodles,4.44,now £0.65,(£8.67/kg)
Indus Spice Mix Chicken Tikka,3,now £0.75,(15.0p/10g)
Num Num Instant Noodles Chicken Flavour,5,now £0.75,(£11.54/kg)
The Original Patty Co. Jerk Chicken & Rice Meals 380g,4.2,now £4.00,(£1.05/100g)
Num Num Instant Noodles Spicy Beef Flavour,3,now £0.75,(£11.54/kg)
For Aisha Chicken & Sweet Potato Curry 7+ Months,3.38,now £1.00,(76.9p/100g)
Maggi 2 Minute Chicken Flavour Instant Noodles,4.57,now £0.75,(£9.74/kg)
For Aisha Roast Lamb Dinner with Vegetables 7+ Months,3.86,now £1.00,(76.9p/100g)
Melis Pastirma Turkish Style Spicy Cured Beef,2.33,now £2.50,(£3.12/100g)
Aunty Noray's 6 Hand Made Charcoaled Premium Chicken Seekh Kebabs,3.63,now £3.50,(£11.67/kg)
"Tahira 4 Chicken Grills, Four Peppers Flavour",2.5,now £1.25,(£4.81/kg)
Wai Wai X-Press Instant Noodles Creamy Chicken Flavour 350g,5,now £2.50,(£7.14/kg)
Indomie Indomie Noodles Special Chicken Flavour Value Pack 5 x 75g (375g),5,now £2.50,(£6.67/kg)
